description,num_pages,book_Title,Book_Author,year_of_Publication,image,categoryname,price,inStock,category
novel reader critic eagerly anticipating decade gilead astonishingly imagined story remarkable life john ames preacher son preacher grandson maternal paternal preacher 1956 gilead iowa towards end reverend amess life absorbed recording family story legacy young son never see grow haunted grandfather presence john tell rift grandfather father elder angry visionary fought abolitionist cause son ardent pacifist troubled prodigal namesake jack john ames boughton best friend lost son return gilead searching forgiveness redemption told john amess joyous rambling voice find beauty humour truth smallest life detail gilead song celebration acceptance best worst world offer heart tale sacred bond father son pitchperfect style story set dazzle critic reader alike,247,gilead,marilynne robinson,2004,http://books.google.com/books/content?id=KQZCPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2477,28,
new christie christmas fulllength novel adapted acclaimed play charles osborne following black coffee unexpected guest come final agatha christie play novelisation bringing superb storytelling new legion fan clarissa wife foreign office diplomat given daydreaming supposing come one morning find dead body library mus clarissa chance find discovers body drawingroom house kent desperate dispose body husband come home important foreign politician clarissa persuades three house guest become accessory accomplice seems murdered man unknown certain member house party one search begin murderer motive time trying persuade police inspector murder spider web written 1954 specifically margaret lockwood opened first theatre royal nottingham moving savoy theatre london 14 december 1954 mousetrap wi,241,spider's web,charles osborne;agatha christie,2000,http://books.google.com/books/content?id=gA5GPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,detective and mystery stories,2357,26,
volume two stephen donaldsons acclaimed second trilogy featuing compelling antihero thomas covenant,479,the one tree,stephen r. donaldson,1982,http://books.google.com/books/content?id=OmQawwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2806,22,
memorable mesmerizing heroine jennifer brilliant beautiful attorney way mafia scheme win hatred implacable enemy love destructive hate dangerous dramatic world dark arena organized crime flashbulb lit courtroom ambitious prosecutor begin climb political power,512,rage of angels,sidney sheldon,1993,http://books.google.com/books/content?id=FKo2TgANz74C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2818,21,
kate blackwell enigma one powerful woman world ninetieth birthday celebration ghost absent friend absent enemy,489,master of the game,sidney sheldon,1982,http://books.google.com/books/content?id=TkTYp-Tp6_IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,adventure stories,1076,21,
one sidney sheldons popular bestselling title repackaged reissued new generation fan,501,if tomorrow comes,sidney sheldon,1994,http://books.google.com/books/content?id=l2tBi_jLuk8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,adventure stories,2490,21,
fantasyroman,460,assassin's apprentice,robin hobb,1996,http://books.google.com/books/content?id=qTaGQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2960,24,
tricked wily halfbrother lysaer lord light arrives tiny harbor town merior find arithons ship yard abandoned meticulously destroyed master shadow disappeared thin air meanwhile arithon mad prophet dakar traveling foot treacherous kelhorn mountain towards vastmark clan raise support cause raising warhost costly business mere coincidence princess talithlysaers beautiful headstrong wifeis taken captive held vast ransom master brigand force light shadow circle feint drawing ever closer huge conflict background fellowship seven sorcerer koriani enchantress watch plan wait,522,warhost of vastmark,janny wurts,1995,http://books.google.com/books/content?id=uOL0fpS9WZkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1464,20,
available u first time second volume exceptional legend riftwar series new york timesbestselling author feist rosenberg,337,murder in lamut,raymond e. feist;joel rosenberg,2003,http://books.google.com/books/content?id=I2jbBlMHlAMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,adventure stories,2019,20,
jimmy hand boy thief krondor lived shadow city though gifted beyond peer jimmy merely pickpocket potentialuntil aid prince arutha rescue princess anita duke guy du bastyra run afoul black guy secret police facing choice disappearing weighted barrel bottom krondors harbor jimmy chooses former forced flee home he ever known jimmy find among unsuspecting rural villager land end hope prosper talent con thievery land end home many tread crooked pathand dark dangerous presence even local smuggler dont recognize suddenly jimmy youthful bravado courage leading maw chaos quite possibly doom,368,jimmy the hand,raymond e. feist;s. m. stirling,2003,http://books.google.com/books/content?id=hV4-oITYFN8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2901,23,
